Date,Username,User tag,Content,Mentions,link
"2022-10-26,15:59:17","ONI","#6888","the deposit limit seems to be an old alert I would guess, if you go to the y.w page it should a deposit limit of 
1,000,000 yvCurve-3Crypto","ThanksSkeleton#9425",""
"2022-10-26,16:17:09","ThanksSkeleton","#9425","<@137743751656243201> ok, thanks. Is yearn.watch a good website to use to check on yearn vaults? or too outdated.

Is there a known reason why the past couple harvests for this vault are 0? https://discord.com/channels/734804446353031319/879906686805106698/1027717662828150785

If is there a way you suggest I investigate the 0 harvest myself that would also be fine","ONI#6888",""
"2022-10-26,22:20:33","ONI","#6888","it's up to date just the alerts dont have timestamps it seems","ThanksSkeleton#9425",""
"2022-10-26,22:27:26","ONI","#6888","Not all harvests sell rewards into the base token sometimes its just to update a strategies paramaters. 
Seems like this vault harvests roughly once a month","ThanksSkeleton#9425","https://cdn.discordapp.com/attachments/734811808401063966/1035001749267812412/unknown.png"
"2022-10-26,22:29:45","ONI","#6888","https://yearn.vision/d/4YCbcel7k/vault-overview?orgId=1&var-networks=ETH&var-exp=false&var-vaults=yvCurve-3Crypto+0.4.3&from=now-90d&to=now","",""
"2022-10-27,01:55:39","Anthony Chefn","#8200","This issue is happening on and off using metamask and as the guy before me said its happening on both Chrome and Firefox","ONI#6888",""
"2022-10-27,01:55:55","Anthony Chefn","#8200","sometimes I just wait an hour or two and then it works","",""
"2022-10-27,04:57:38","ThanksSkeleton","#9425","thanks for your help, makes sense now.","ONI#6888",""
"2022-10-28,08:02:40","Bahjiggyboo","#9991","What happens if you submit a transaction for a large withdraw from a V2 vault which does not have enough tokens sitting idle in the vault contract? (because there being used by the strategies). Will it just withdraw what's available and I'll then have to wait for the vault to withdraw more from the strategies (and then withdraw the rest) or will my initial transaction actually withdraw what's available AND from the strategy also?","",""
"2022-10-28,08:08:08","arberx","#3367","The strategy as well","Bahjiggyboo#9991",""
"2022-10-28,08:08:17","arberx","#3367","It will rebalance","",""
"2022-10-28,08:08:21","arberx","#3367","Gas will be higher","",""
"2022-10-28,10:38:43","Bahjiggyboo","#9991","Ok, so I'll pay extra gas to pull from strategy if necessary. Pretty well thought out system😇","",""
"2022-10-29,18:09:51","louischarles","#2568","Hi I have yCRV-f.  How can I swap this out to ETH?  Thanks.","",""
"2022-10-31,04:20:57","Halfaro","#7673","Does y.finance act like a third party wallet for the ledger wallet.","",""
"2022-10-31,04:21:07","j.","#6352","no","",""
"2022-11-01,02:31:41","NP","#6715","Hello, is there a way to contact a dev for some support? i have a couple of inquiries regarding the Yearn boosted system.","",""
"2022-11-01,05:30:28","Crolev","#3404","Just ask the questions here","NP#6715",""
"2022-11-01,05:51:46","NP","#6715","specifically if the function `_change_gauge_weight` was called on mainnet and not testing, it causes some issues which are to be expected since there's a devnote there that says only for testing. But the question is, is there a way to fix the gauges if the function was called? Calling it seems to have caused `_get_weight` to revert everytime a user tries to deposit/withdraw from the gauge.","Crolev#3404",""
"2022-11-01,06:03:24","Crolev","#3404","Could you please add an etherscan link to the exact smart contract you are asking about?","NP#6715",""
"2022-11-01,06:15:57","NP","#6715","1 sec,

I think its this one 
https://bscscan.com/address/0xaCC31d29022C8Eb2683597bF4c07De228Ed9EA07","Crolev#3404",""
"2022-11-01,06:17:19","Crolev","#3404","Yearn is not on BSC, this is some other project.","NP#6715",""
"2022-11-01,06:17:37","Crolev","#3404","This seems to be some Curve fork","",""
"2022-11-01,06:30:38","NP","#6715","Yea its our fork thats what we need some guidance for sir","Crolev#3404",""
"2022-11-01,06:31:02","NP","#6715","Balancer fork with the ve- voting system","",""
"2022-11-01,06:58:07","Crolev","#3404","Have you tried asking Balancer or Curve first? 😅","NP#6715",""
"2022-11-01,06:59:07","j.","#6352","this is wild","",""
"2022-11-01,07:30:34","NP","#6715","Yes sir have reached out to them too, have not gotten a response yet. Do you have an idea on how to salvage the gauge?","Crolev#3404",""
"2022-11-01,07:40:35","Crolev","#3404","Unfortunately not.","NP#6715",""
"2022-11-01,08:28:50","NP","#6715","Would you be so kind as to connect me to anyone who you think might?","Crolev#3404",""
"2022-11-01,08:29:55","Crolev","#3404","That would be the devs of the project you forked - try Balancer and Curve discord servers.","NP#6715",""
"2022-11-01,10:50:57","wavey","#9439","Try calling checkpoint on the gauge","NP#6715",""
"2022-11-01,10:51:26","wavey","#9439","Not near computer now but can help later.","",""
"2022-11-01,10:54:13","wavey","#9439","Can’t you try setting it back to what it was before?","",""
"2022-11-01,11:27:54","ONI","#6888","<@329628010472931329>","NP#6715",""
"2022-11-01,11:49:37","NP","#6715","The checkpoint on the gauge fails once it reaches `_get_weight`","wavey#9439",""
"2022-11-01,11:50:48","NP","#6715","1 sec lemme ask","wavey#9439",""
"2022-11-01,12:35:03","wavey","#9439","send link for the gauge controller","NP#6715",""
"2022-11-01,12:53:20","Twisted","#8812","22 hrs ago i deposit some lp-yCRV token into vault. It seems that the number of earnings at the front end is wrong. <@573280701378723882>","Crolev#3404",""
"2022-11-01,12:54:30","Twisted","#8812","lp-yCRV vault apr is 30%. But now it seems to be only half.","",""
"2022-11-01,12:55:22","Twisted","#8812","It's a bug or i misunderstood?","",""
"2022-11-01,13:02:51","j.","#6352","man i could use some *.tb tag* for this one","",""
"2022-11-01,13:20:28","Crolev","#3404","https://yearn.vision/?orgId=1&refresh=5m&viewPanel=24&from=now-30d&to=now (select st-yCRV on the list on the right)","Twisted#8812","https://cdn.discordapp.com/attachments/734811808401063966/1037038427914387507/unknown.png"
"2022-11-01,13:23:36","Crolev","#3404","As you can see the share price went from 1.0 to 1.019995 over the last 30 days. If we annualize it as APY like that: 1.019995^(365/30)-1 then we get 27.23% APY which is roughly what you see in the UI. The actual calculation probably uses different compound term which could account for the difference.","",""
"2022-11-01,13:24:32","Crolev","#3404","Firstly you need to understand the difference between APR and APY","",""
"2022-11-01,13:24:52","Crolev","#3404","The first one is yearly yield assuming no compounding and the other one assumes that you will compound your gains","",""
